,keywords,number_of_times_word_appeared,tf,idf,tf_idf
1,RD,2,0.004098360655737705,-0.6931471805599453,-0.0028407671334423987
43,SOLUTIONS,2,0.004098360655737705,-0.6931471805599453,-0.0028407671334423987
20,INVOICE,2,0.004098360655737705,-0.6931471805599453,-0.0028407671334423987
40,BETRAM,2,0.004098360655737705,-0.6931471805599453,-0.0028407671334423987
38,PINNACLE,2,0.004098360655737705,-0.6931471805599453,-0.0028407671334423987
37,TO,2,0.004098360655737705,-0.6931471805599453,-0.0028407671334423987
10,Date,2,0.004098360655737705,-0.6931471805599453,-0.0028407671334423987
17,JOSE,2,0.004098360655737705,-0.6931471805599453,-0.0028407671334423987
34,USD,2,0.004098360655737705,-0.6931471805599453,-0.0028407671334423987
33,SAN,2,0.004098360655737705,-0.6931471805599453,-0.0028407671334423987
0,NO,1,0.0020491803278688526,0.0,0.0
27,A4,1,0.0020491803278688526,0.0,0.0
28,Price,1,0.0020491803278688526,0.0,0.0
29,Description,1,0.0020491803278688526,0.0,0.0
30,Number,1,0.0020491803278688526,0.0,0.0
35,Terry,1,0.0020491803278688526,0.0,0.0
32,Terms,1,0.0020491803278688526,0.0,0.0
26,Quantity,1,0.0020491803278688526,0.0,0.0
36,A8025690,1,0.0020491803278688526,0.0,0.0
39,COM,1,0.0020491803278688526,0.0,0.0
41,USD4,1,0.0020491803278688526,0.0,0.0
42,Amount,1,0.0020491803278688526,0.0,0.0
31,Payable,1,0.0020491803278688526,0.0,0.0
25,North,1,0.0020491803278688526,0.0,0.0
22,Sales,1,0.0020491803278688526,0.0,0.0
23,Premium,1,0.0020491803278688526,0.0,0.0
2,SHIP,1,0.0020491803278688526,0.0,0.0
3,AMAZON,1,0.0020491803278688526,0.0,0.0
4,ltem,1,0.0020491803278688526,0.0,0.0
5,Subtotal,1,0.0020491803278688526,0.0,0.0
6,WA,1,0.0020491803278688526,0.0,0.0
7,Due,1,0.0020491803278688526,0.0,0.0
8,Seattle,1,0.0020491803278688526,0.0,0.0
9,Printer,1,0.0020491803278688526,0.0,0.0
24,DATE,1,0.0020491803278688526,0.0,0.0
11,Sheets,1,0.0020491803278688526,0.0,0.0
13,Paper,1,0.0020491803278688526,0.0,0.0
14,Ship,1,0.0020491803278688526,0.0,0.0
15,Net,1,0.0020491803278688526,0.0,0.0
16,USA,1,0.0020491803278688526,0.0,0.0
18,Each,1,0.0020491803278688526,0.0,0.0
19,Avenue,1,0.0020491803278688526,0.0,0.0
21,Accounts,1,0.0020491803278688526,0.0,0.0
44,BILL,1,0.0020491803278688526,0.0,0.0
12,Total,1,0.0020491803278688526,0.0,0.0
45,Tax,1,0.0020491803278688526,0.0,0.0
